Lag_1,Lag_2,Lag_3,Return
,,,
-0.010621995702379428,0.05605653312252623,-0.005864531827206032,-0.044494497652946774
-0.044494497652946774,-0.010621995702379428,0.05605653312252623,-0.003153405592199232
-0.003153405592199232,-0.044494497652946774,-0.010621995702379428,-0.01305288982206032
-0.01305288982206032,-0.003153405592199232,-0.044494497652946774,-0.024241461624452176
-0.024241461624452176,-0.01305288982206032,-0.003153405592199232,-0.00959942757640797
-0.00959942757640797,-0.024241461624452176,-0.01305288982206032,0.019256145072983122
0.019256145072983122,-0.00959942757640797,-0.024241461624452176,-0.02347326010471351
-0.02347326010471351,0.019256145072983122,-0.00959942757640797,-0.024458090225057294
-0.024458090225057294,-0.02347326010471351,0.019256145072983122,0.00875508689287341
0.00875508689287341,-0.024458090225057294,-0.02347326010471351,-0.08218823758246674
-0.08218823758246674,0.00875508689287341,-0.024458090225057294,-0.0766530355251378
-0.0766530355251378,-0.08218823758246674,0.00875508689287341,0.032392000767142104
0.032392000767142104,-0.0766530355251378,-0.08218823758246674,-0.05129071230255955
-0.05129071230255955,0.032392000767142104,-0.0766530355251378,0.05960860827013281
0.05960860827013281,-0.05129071230255955,0.032392000767142104,0.07255264788199489
0.07255264788199489,0.05960860827013281,-0.05129071230255955,0.06544916484533281
0.06544916484533281,0.07255264788199489,0.05960860827013281,-0.020999583742291605
-0.020999583742291605,0.06544916484533281,0.07255264788199489,-0.03220844689083846
-0.03220844689083846,-0.020999583742291605,0.06544916484533281,0.05192293313418306
0.05192293313418306,-0.03220844689083846,-0.020999583742291605,-0.012372820864378187
-0.012372820864378187,0.05192293313418306,-0.03220844689083846,-0.022762782382571456
-0.022762782382571456,-0.012372820864378187,0.05192293313418306,0.021286738456213206
0.021286738456213206,-0.022762782382571456,-0.012372820864378187,-0.030398916175858104
-0.030398916175858104,0.021286738456213206,-0.022762782382571456,-0.012087505392479714
-0.012087505392479714,-0.030398916175858104,0.021286738456213206,0.019674020987929586
0.019674020987929586,-0.012087505392479714,-0.030398916175858104,0.02294182395058919
0.02294182395058919,0.019674020987929586,-0.012087505392479714,-0.032791263163394424
-0.032791263163394424,0.02294182395058919,0.019674020987929586,-0.023670076256160577
-0.023670076256160577,-0.032791263163394424,0.02294182395058919,0.0003176334310297513
0.0003176334310297513,-0.023670076256160577,-0.032791263163394424,-0.009772049765610302
-0.009772049765610302,0.0003176334310297513,-0.023670076256160577,0.017065024181957433
0.017065024181957433,-0.009772049765610302,0.0003176334310297513,0.030124724287798443
0.030124724287798443,0.017065024181957433,-0.009772049765610302,-0.0006121312704419068
-0.0006121312704419068,0.030124724287798443,0.017065024181957433,0.02048323157183285
0.02048323157183285,-0.0006121312704419068,0.030124724287798443,0.0041011301765416786
0.0041011301765416786,0.02048323157183285,-0.0006121312704419068,-0.055454155423032336
-0.055454155423032336,0.0041011301765416786,0.02048323157183285,0.03389002165305066
0.03389002165305066,-0.055454155423032336,0.0041011301765416786,0.029514774071228045
0.029514774071228045,0.03389002165305066,-0.055454155423032336,-0.002642361564227369
